osm_id,repr_road,lon,lat
27930971,27930971,-5.714885,-15.929389
48226992,48226992,6.7282286,0.34064913
48226997,48226997,6.729087,0.33751586
146496053,146496053,6.5337396,0.040054098
197350581,197350581,7.419324,1.6393327
242687763,242687763,7.423322,1.6390786
27626437,27626437,55.527027,-4.6848073
27941028,27941028,55.45691,-4.622233
34412246,34412246,55.439034,-4.657959
41678569,41678569,55.684776,-4.303966
114877033,114877033,55.705692,-4.2961836
1151989789,1151989789,56.596546,-10.358239
32273443,32273443,45.234566,-12.783057
32276119,32276119,45.22574,-12.785413
32276141,32276141,45.228043,-12.779728
22730921,22730921,57.586597,-20.399681
22730926,22730926,57.573025,-20.37987
22743238,22743238,57.663746,-20.431414
22753490,22753490,57.573517,-20.379974
22761939,22761939,57.55125,-20.02704
22771846,22771846,57.58956,-20.397642
22945905,22945905,57.322166,-20.442934
22956516,22956516,57.78287,-20.217047
7690114,7690114,31.171722,-27.21462
7980289,7980289,31.110306,-25.910269
7980321,7980321,31.01962,-26.220825
22731469,22731469,31.052402,-27.103573
22731599,22731599,31.259613,-26.471645
23703888,23703888,31.116806,-26.583492
23703967,23703967,30.985985,-26.510372
23837753,23837753,31.864862,-27.330431
23837754,23837754,31.879099,-26.700817
23837989,23837989,31.81908,-26.407394
31091388,31091388,31.862164,-26.752872
31496567,31496567,31.741701,-25.986088
31496570,31496570,31.745972,-25.97498
42922408,42922408,31.532616,-26.099886
42922627,42922627,31.576908,-26.057957
50753878,50753878,31.45324,-26.488106
50758428,50758428,31.68225,-26.684334
50758430,50758430,31.576141,-26.543816
71321476,71321476,31.182312,-27.063356
71409841,71409841,31.936937,-27.061035
71409852,71409852,31.887016,-27.308464
71437326,71437326,31.884468,-26.531898
71438834,71438834,31.978533,-26.501993
71439413,71439413,32.084484,-26.257189
73269997,73269997,31.365854,-26.498075
73859382,73859382,31.182228,-26.399876
73866486,73866486,31.151218,-26.354494
73891268,73891268,31.146185,-26.33308
76758768,76758768,30.993488,-26.213428
77022606,77022606,31.536165,-25.985367
77162112,77162112,31.145596,-27.077404
77183633,77183633,31.947245,-26.18085
77400627,77400627,30.78469,-26.56694
111620932,111620932,31.259995,-25.97384
127573730,127573730,31.99553,-27.134144
130669771,130669771,31.66909,-25.991848
132406554,132406554,31.011988,-26.753145
132450536,132450536,31.351627,-27.285618
132529792,132529792,31.556242,-25.955215
133623982,133623982,31.527567,-26.112295
134156967,134156967,31.936216,-26.79019
249867322,249867322,31.689745,-27.333183
253250195,253250195,31.999184,-25.98936
442665209,442665209,31.724665,-26.333559
551493858,551493858,31.717123,-26.269169
1062218009,1062218009,31.38984,-27.19811
1062218010,1062218010,31.812115,-27.181759
1062218022,1062218022,31.275492,-25.965118
1091585892,1091585892,31.64388,-27.325579
8655725,8655725,55.637333,-20.930412
8755056,8755056,55.71719,-21.04765
8756208,8756208,55.47239,-21.330011
8756209,8756209,55.472397,-21.32836
8867783,8867783,55.623394,-20.951393
8873179,8873179,55.40958,-21.291374
27302396,27302396,55.47214,-21.129532
27302486,27302486,55.387085,-21.071413
27302776,27302776,55.229763,-21.044682
27302798,27302798,55.26799,-21.04443
30387988,30387988,55.282986,-21.00154
31130322,31130322,55.479763,-20.899557
5019055,5019055,18.557966,-27.818361
10413922,10413922,18.152996,-26.561735
10417617,10417617,14.530721,-22.67782
10422048,10422048,14.316169,-17.407602
10629771,10629771,17.087465,-22.632786
12511680,12511680,15.947528,-21.425354
12511682,12511682,15.954673,-21.427315
17499917,17499917,14.529311,-22.673582
22717204,22717204,18.750532,-28.021502
22722013,22722013,17.359812,-22.586535
22722419,22722419,17.047544,-22.516834
22724310,22724310,17.88085,-24.491676
22724370,22724370,19.114733,-24.13752
22724678,22724678,17.271603,-22.551022
22724831,22724831,18.965788,-22.480474
22726152,22726152,18.602457,-23.485773
22726356,22726356,18.40725,-24.344273
22794498,22794498,19.102982,-18.609386
22794720,22794720,17.665678,-19.234207
23274776,23274776,17.77691,-18.950146
23278923,23278923,17.052338,-22.539833
23895587,23895587,13.841536,-18.055857
23939871,23939871,17.168655,-18.619045
23940199,23940199,15.721878,-17.80545
23940297,23940297,15.391015,-17.556616
23946981,23946981,14.582897,-17.82321
23947601,23947601,15.6863575,-17.77919
23947660,23947660,15.072949,-17.888735
23949448,23949448,19.744007,-17.929983
23949486,23949486,20.026192,-17.927467
23950917,23950917,18.412382,-17.396473
24145274,24145274,17.797268,-25.146227
24153485,24153485,23.82458,-18.007193
24210582,24210582,24.28476,-17.503933
24210764,24210764,23.417402,-17.726986
25316247,25316247,17.087011,-22.611109
