osm_id,country,highway_level,2020,2030,2040,2050,2060,2070,2080,2090,2100
136791773,alb,1,15.11,15.14,16.60,17.19,17.59,17.77,20.55,20.78,21.00
142509277,alb,1,19.65,19.11,22.36,22.23,23.11,23.77,24.65,26.69,27.32
660068423,alb,1,20.43,20.85,20.50,22.45,21.55,22.97,23.57,26.34,25.80
54615555,ago,1,31.08,30.59,30.74,30.29,30.82,31.75,32.82,33.17,33.42
41819458,alb,1,15.77,15.71,17.04,17.57,17.92,18.22,21.36,21.87,22.12
134230660,alb,1,19.65,19.11,22.36,22.23,23.11,23.77,24.65,26.69,27.32
279335990,alb,1,13.23,12.79,13.65,12.38,15.58,14.22,16.84,16.46,18.03
276023013,alb,1,18.75,19.74,20.95,19.99,20.58,19.79,20.03,20.41,20.97
179835808,alb,1,19.23,19.68,20.40,21.83,24.28,24.67,24.12,26.33,26.86
10484174,are,1,35.38,35.92,36.15,36.54,37.37,37.96,38.98,39.66,40.78
10552722,are,1,33.17,33.23,33.38,33.47,34.33,35.69,36.35,37.26,38.63
106659026,are,1,33.17,33.23,33.38,33.47,34.33,35.69,36.35,37.26,38.63
160504437,are,1,33.58,34.39,33.73,35.01,35.45,36.10,36.87,36.83,39.09
10688649,are,1,32.52,33.14,34.80,34.73,35.08,36.65,37.20,37.23,39.36
24151136,are,1,33.17,33.23,33.38,33.47,34.33,35.69,36.35,37.26,38.63
146352183,are,1,35.48,35.49,35.82,36.01,36.93,37.19,38.82,39.23,40.30
24151382,are,1,33.17,33.23,33.38,33.47,34.33,35.69,36.35,37.26,38.63
24151596,are,1,33.17,33.23,33.38,33.47,34.33,35.69,36.35,37.26,38.63
24151786,are,1,33.17,33.23,33.38,33.47,34.33,35.69,36.35,37.26,38.63
27679355,are,1,33.17,33.23,33.38,33.47,34.33,35.69,36.35,37.26,38.63
391980059,are,1,33.17,33.23,33.38,33.47,34.33,35.69,36.35,37.26,38.63
4009554,are,1,35.38,35.92,36.15,36.54,37.37,37.96,38.98,39.66,40.78
4858814,are,1,35.38,35.92,36.15,36.54,37.37,37.96,38.98,39.66,40.78
837629155,are,1,33.11,33.33,33.42,33.47,34.32,35.67,36.32,37.24,38.60
86479530,are,1,30.98,30.78,30.60,31.96,32.43,32.42,32.16,32.73,34.15
104625908,arg,1,22.02,22.00,22.05,22.72,23.40,23.16,24.03,24.01,24.71
10435703,arg,1,19.03,19.04,18.93,19.51,20.15,19.69,20.83,20.70,20.85
10585611,arg,1,2.96,3.52,3.90,4.54,5.30,4.42,4.89,5.17,6.29
123588766,arg,1,24.70,24.63,24.63,24.92,25.27,25.82,26.27,26.25,27.02
154349630,arg,1,20.58,20.60,20.63,21.20,21.80,21.49,22.37,22.44,22.89
16265615,arg,1,19.03,19.04,18.93,19.51,20.15,19.69,20.83,20.70,20.85
